Timestamp,How many members reside in your household?,Which services do you currently pay for across individual/separate providers?,Choice Card 1: Review the comparative Starter options. Which of these would you prefer for your household?,Choice Card 2: Review the comparative Connect options. Which of these would you prefer for your household?,Choice Card 3: Review the comparative Family Secure options. Which of these would you prefer for your household?,Choice Card 4: Review the comparative Infinite options. Which of these would you prefer for your household?,"How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I worry that if one service goes down (e.g., fiber cut), I will lose all connectivity (mobile, internet, TV) at once.]","How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Migrating numbers or installing multiple hardware units (routers, TV boxes, cameras) is too complicated and time-consuming.]",How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Consolidating will not save me significant money compared to choosing separate cheaper providers.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I prefer separate monthly bills because it helps me manage my expenses better than one large combined invoice.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I am concerned about data privacy and sharing too much household behavior data with a single telecom company.],Which adjacent benefits would make you MORE likely to bundle services under one provider? (Select all that apply),"What is the single biggest factor that would convince you to switch your entire household to a unified ecosystem (e.g., Altura Home / Airtel Black)?"
6/18/2026 16:44:26,5+,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Real savings in rupees, not vague promises of a cheaper bundle."
7/14/2026 13:23:25,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
6/9/2026 10:45:17,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Neutral,Neutral,Agree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording",I want a trust guarantee - compensation if all services go down together.
7/7/2026 14:13:07,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Strongly Agree,Agree,Neutral,Agree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
6/25/2026 18:12:19,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Disagree,Disagree,Disagree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",No blackout risk. If fiber goes down I still want mobile signal to work.
6/28/2026 16:13:45,3-4,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills","No more fearing one outage kills internet, calls and TV together."
5/25/2026 20:44:10,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,AI-powered Home Security Cameras with phone alerts & cloud recording,Assurance that mobile stays live even if the home fibre line fails.
6/8/2026 18:52:40,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Agree,Agree,Neutral,Agree,"Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Real savings in rupees, not vague promises of a cheaper bundle."
6/21/2026 19:23:45,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",One simple bill so I can actually see where my money goes.
7/13/2026 11:27:42,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Strongly Agree,Disagree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills","Zero downtime guarantee across all services, not just a discount."
7/5/2026 20:49:50,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Disagree,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills","Real savings in rupees, not vague promises of a cheaper bundle."
5/21/2026 9:02:43,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Agree,Neutral,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Less onboarding fatigue - one appointment instead of juggling multiple technicians.
5/23/2026 7:01:48,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Disagree,Strongly Agree,Agree,Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Transparent pricing - show me the real rupee savings versus my current providers.
7/4/2026 20:31:29,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Agree,Agree,Disagree,Agree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",One single install day for everything instead of scheduling separate visits.
5/31/2026 17:51:35,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Reliability first - I switch only if there is no single point of failure.
6/20/2026 20:13:16,2,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Reduce the friction of porting my number and re-installing hardware.
5/25/2026 10:40:39,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Disagree,Agree,Neutral,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","No more fearing one outage kills internet, calls and TV together."
7/15/2026 16:56:03,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording","Zero downtime guarantee across all services, not just a discount."
6/3/2026 13:09:50,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Neutral,Neutral,Neutral,Agree,AI-powered Home Security Cameras with phone alerts & cloud recording,Better customer support and control over which services I can pause.
5/29/2026 7:20:31,2,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Strongly Agree,Agree,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording",Autopay discount and no surprise charges added later.
6/9/2026 8:52:13,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Neutral,Neutral,Disagree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Proof of network redundancy so a fibre cut doesn't blackout everything.
6/16/2026 17:13:32,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Neutral,Agree,Agree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Trust that one outage won't silence my entire household connectivity.
7/16/2026 17:00:17,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Google One Cloud Storage (100GB to 2TB) for device backups,A dedicated installation manager to coordinate all the hardware setup.
6/21/2026 16:23:44,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Neutral,Strongly Agree,Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Confidence that my household data is not overshared with one company.
6/19/2026 16:38:37,2,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Disagree,Neutral,Disagree,Agree,Payments Bank features offering high interest (7%) and cashback on utility bills,One single install day for everything instead of scheduling separate visits.
7/17/2026 8:51:36,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Quick and easy migration of my existing number without waiting days.
6/30/2026 20:11:59,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","No more fearing one outage kills internet, calls and TV together."
7/14/2026 15:56:14,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Neutral,Strongly Agree,Disagree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Better hardware quality - reliable routers and cameras that do not fail often.
6/28/2026 18:11:17,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Disagree,Strongly Disagree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",A genuine price discount that beats my current separate bills combined.
5/26/2026 14:13:07,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Confidence that my household data is not overshared with one company.
5/28/2026 10:58:44,2,"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Disagree,Disagree,Strongly Agree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, Payments Bank features offering high interest (7%) and cashback on utility bills",Transparent pricing - show me the real rupee savings versus my current providers.
7/7/2026 14:58:16,2,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Neutral,Disagree,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
7/18/2026 11:20:00,2,Home Broadband WiFi,"Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Neutral,Disagree,Disagree,Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
7/18/2026 20:05:20,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Agree,Neutral,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Quick and easy migration of my existing number without waiting days.
